,Time,Length,Is_malicious
60280,1659046796.342818,190,1
60281,1659046796.429229,60,1
60282,1659046796.429229,60,1
74368,1659046797.0,74,1
60283,1659046797.147569,66,1
60284,1659046797.150687,66,1
60285,1659046797.150739,54,1
60286,1659046797.201304,54,1
60287,1659046797.204303,60,1
60288,1659046797.204345,54,1
74369,1659046799.0,74,1
60289,1659046799.145325,66,1
60290,1659046799.147411,66,1
60291,1659046799.147462,54,1
60292,1659046799.164019,88,1
60293,1659046799.181019,54,1
60294,1659046799.183144,60,1
60295,1659046799.183194,54,1
60296,1659046799.200893,88,1
74370,1659046801.0,74,1
60297,1659046801.14831,66,1
60298,1659046801.150807,66,1
60299,1659046801.150871,54,1
60300,1659046801.152628,54,1
60301,1659046801.155179,60,1
60302,1659046801.155221,54,1
60303,1659046801.414619,1200,1
60304,1659046801.468557,54,1
60305,1659046801.63344,1434,1
60306,1659046801.646203,219,1
60307,1659046801.646262,54,1
74371,1659046802.0,74,1
60310,1659046802.14349,60,1
60308,1659046802.14349,93,1
60309,1659046802.14349,78,1
60311,1659046802.143569,54,1
60312,1659046802.206636,78,1
60313,1659046802.206756,54,1
60314,1659046802.210591,60,1
60315,1659046802.600678,307,1
60316,1659046802.631195,70,1
60317,1659046802.63953,75,1
74372,1659046803.0,74,1
60318,1659046803.031553,135,1
60319,1659046803.032185,78,1
60320,1659046803.03242,86,1
60321,1659046803.042792,75,1
60322,1659046803.070313,67,1
60323,1659046803.146277,66,1
60324,1659046803.148843,66,1
60325,1659046803.148915,54,1
60326,1659046803.186824,54,1
60327,1659046803.189369,60,1
60328,1659046803.189411,54,1
60329,1659046803.295438,62,1
60330,1659046803.327123,74,1
74373,1659046804.0,74,1
60331,1659046804.289235,88,1
60332,1659046804.317969,88,1
74374,1659046805.0,74,1
60333,1659046805.145589,66,1
60334,1659046805.147563,66,1
60335,1659046805.147624,54,1
60336,1659046805.218446,54,1
60337,1659046805.220424,60,1
60338,1659046805.220479,54,1
60339,1659046805.701705,74,1
60340,1659046805.710959,75,1
74375,1659046807.0,74,1
60341,1659046807.147675,66,1
60342,1659046807.149584,66,1
60343,1659046807.149641,54,1
60344,1659046807.211489,54,1
60345,1659046807.213426,60,1
60346,1659046807.213465,54,1
74376,1659046809.0,74,1
60347,1659046809.146978,66,1
60348,1659046809.148996,66,1
60349,1659046809.149058,54,1
60350,1659046809.218267,54,1
60351,1659046809.220196,60,1
60352,1659046809.220256,54,1
60353,1659046809.304686,88,1
60354,1659046809.332349,88,1
60355,1659046809.4443,1051,1
60356,1659046809.716191,60,1
60357,1659046809.982743,1413,1
74377,1659046810.0,74,1
60358,1659046810.038142,54,1
74378,1659046811.0,74,1
60359,1659046811.147299,66,1
60360,1659046811.149318,66,1
60361,1659046811.149369,54,1
60362,1659046811.175632,54,1
60363,1659046811.177774,60,1
60364,1659046811.177849,54,1
74379,1659046812.0,74,1
60365,1659046812.898827,1002,1
74380,1659046813.0,74,1
60366,1659046813.144894,66,1
60367,1659046813.14737,66,1
60368,1659046813.147425,54,1
60369,1659046813.170967,60,1
60370,1659046813.189855,54,1
60371,1659046813.192423,60,1
60372,1659046813.192476,54,1
60373,1659046813.35302,62,1
60374,1659046813.384261,74,1
74381,1659046814.0,74,1
60375,1659046814.466649,88,1
60376,1659046814.486443,88,1
74382,1659046815.0,74,1
60377,1659046815.07623,178,1
60378,1659046815.145707,66,1
60379,1659046815.148532,66,1
60380,1659046815.148585,54,1
60381,1659046815.175461,54,1
60382,1659046815.178367,60,1
60383,1659046815.178408,54,1
60384,1659046815.327875,178,1
60385,1659046815.452803,94,1
60386,1659046815.701638,74,1
60387,1659046815.710715,75,1
74383,1659046817.0,74,1
60388,1659046817.146706,66,1
60389,1659046817.148998,66,1
60390,1659046817.149054,54,1
60391,1659046817.213521,54,1
60392,1659046817.215942,60,1
60393,1659046817.215995,54,1
60394,1659046817.97511,942,1
74384,1659046818.0,74,1
60395,1659046818.034561,1413,1
60396,1659046818.034635,54,1
60397,1659046818.288794,942,1
60398,1659046818.292696,60,1
60399,1659046818.606681,66,1
74385,1659046819.0,74,1
60400,1659046819.144897,66,1
60401,1659046819.147037,66,1
60402,1659046819.147101,54,1
60403,1659046819.236883,54,1
60404,1659046819.238995,60,1
60405,1659046819.239038,54,1
60406,1659046819.530823,88,1
60407,1659046819.560697,88,1
74386,1659046820.0,74,1
60408,1659046820.283586,197,1
60409,1659046820.28375,5001,1
60410,1659046820.318635,894,1
60411,1659046820.408392,54,1
60412,1659046820.435283,60,1
60413,1659046820.435437,60,1
60414,1659046820.453978,774,1
60415,1659046820.496574,54,1
74387,1659046821.0,74,1
60416,1659046821.144785,66,1
60417,1659046821.147078,66,1
60418,1659046821.147133,54,1
60419,1659046821.187593,54,1
60420,1659046821.189836,60,1
60421,1659046821.189836,60,1
60422,1659046821.18988,54,1
74388,1659046822.0,74,1
60423,1659046822.986059,172,1
